review_id,company,employee_role,employee_detail,review_text,review_date,star_rating,sentiment,predicted_label,predicted_score
82630669,Tecnomapas,Recepcionista,"Ex-funcionário(a), mais de um ano","Companheirismo entre os colegas, oportunidade de crescimento",15 de dez. de 2023,5.0,1,Neutral,0.8148629069328308
74420027,Tecnomapas,Analista Desenvolvedor,Ex-freelancer,Equipe bem prestativa e ótima de se trabalhar.,11 de mar. de 2023,4.0,1,Positive,0.987299382686615
60212043,Tecnomapas,Funcionário confidencial,"Ex-funcionário(a), menos de um ano",Única vantagem era o trabalho ser home office,24 de fev. de 2022,1.0,1,Neutral,0.9803178310394287
60144095,Tecnomapas,Analista,Funcionário(a) atual,"Ambiente colaborativo, equipe preparada e comoreensiva",22 de fev. de 2022,5.0,1,Positive,0.9496899247169495
53823703,Tecnomapas,Auxiliar De Geoprocessamento,"Ex-prestador de serviços, mais de 3 anos",UMA EMPRESA QUE AJUDA AGREGAR CONHECIMENTOS,11 de out. de 2021,4.0,1,Neutral,0.9340013265609741
27076314,Tecnomapas,Auxiliar De Geoprocessamento,"Ex-funcionário(a), menos de um ano","Os outros colaboradores, as pessoas são agradáveis e o ambiente é leve, a empresa oferece refeitório dentro de suas acomodações, fica bem localizada na cidade.",8 de out. de 2018,2.0,1,Neutral,0.9238502383232117
26628766,Tecnomapas,Analista De Desenvolvimento Pleno,Funcionário(a) atual,"Ambiente de trabalho, intervalos, plano de saúde, odontológico e oferece aulas de inglês para funcionários a um custo moderado.",4 de mar. de 2015,3.0,1,Neutral,0.9863661527633667
26632444,Tecnomapas,Desenvolvedor C#,Ex-funcionário(a),"Empresa flexível em relação a horários devido a ser banco de horas, possui intervalos durante o expediente. Ambiente propicio para aprendizado e a convivência é ótima com os colegas.",18 de mar. de 2015,1.0,1,Positive,0.824567437171936
43872197,Tecnomapas,Auxiliar De Analista De Sistemas,"Ex-estagiário, menos de um ano","Liderança acessível para conversa, investe nos próprios funcionários, salário um pouco acima da média, pessoal de boa de conversar.",11 de mar. de 2021,5.0,1,Positive,0.5307360291481018
32706062,Tecnomapas,Analista De Sistemas,"Ex-funcionário(a), mais de um ano","Ótima companhia para se trabalhar, funcionários muito bem qualificados, ambiente de trabalho propício a produção.",13 de abr. de 2020,5.0,1,Positive,0.98948073387146
26629156,Tecnomapas,Analista De Sistemas Pleno,Funcionário(a) atual,"Possui horários de intervalos livres, podendo jogar, assistir serie ou filmes. Possui seguro de vida. Alimentação dentro da empresa.",5 de mar. de 2015,3.0,1,Neutral,0.9756105542182922
31986026,Tecnomapas,Funcionário confidencial,Funcionário(a) atual,"Muito recente. Comecei a trabalhar lá agora, mas estou gostando muito do ambiente",20 de fev. de 2020,4.0,1,Positive,0.9395403265953064
27056784,Tecnomapas,Auxiliar De Geoprocessamento,Funcionário(a) atual,"Os funcionários são a única coisa que valem a pena nessa empresa, são pessoas que se dedicam, se qualificam e não recebem o devido reconhecimento.",6 de set. de 2018,1.0,1,Neutral,0.7774803638458252
28674243,Tecnomapas,Funcionário confidencial,Funcionário(a) atual,pioneira no mercado e com benefícios,16 de ago. de 2019,3.0,1,Positive,0.8543639779090881
26664928,Tecnomapas,Programador Sênior,"Ex-funcionário(a), mais de 10 anos",Ambiente de trabalho muito bom,12 de jun. de 2015,4.0,1,Positive,0.9918140172958374
41161137,Tecnomapas,Analista De Cadastro Júnior,"Ex-funcionário(a), mais de um ano","Ambiente de trabalho ótimo, gerente e supervisor companheiros",21 de jan. de 2021,3.0,1,Positive,0.9874899983406067
84998976,Amaggi,Movimentador,Funcionário(a) atual,Satisfação total adoro trabalhar lá,4 de mar. de 2024,5.0,1,Positive,0.992175281047821
84924212,Amaggi,Auxiliar Administrativo,"Ex-funcionário(a), mais de 5 anos","Muitos benefícios, vale alimentação, seguro de vida, plano de saúde e odontológico",1 de mar. de 2024,5.0,1,Neutral,0.9604668617248535
84663424,Amaggi,Vigilante Patrimonial,Funcionário(a) atual,"Trata o funcionário com respeito e tem bons benefícios, não só para o funcionário, para a família.",22 de fev. de 2024,5.0,1,Neutral,0.7815596461296082
84697090,Amaggi,Supervisor/Coordenador,"Funcionário(a) atual, mais de 10 anos",Excelente empresa para si trabalhar humana pensa nas pessoas. Muito bom estilo de liderança,24 de fev. de 2024,5.0,1,Positive,0.9880753755569458
84513128,Amaggi,Assistente De Operações Agrícolas,"Ex-funcionário(a), menos de um ano","ambiente de trabalho muito bom, ótimos benefícios, fazenda bem estruturada",19 de fev. de 2024,4.0,1,Positive,0.9903197288513184
83803674,Amaggi,Analista De PCM,Funcionário(a) atual,Cultura e ambiente humanizado de trabalho,28 de jan. de 2024,4.0,1,Neutral,0.9856231212615967
83525845,Amaggi,Coordenador Suprimentos,Funcionário(a) atual,"Empresa de bom clima organizacional
Equilibrio entre vida profissional e pessoal
Empresa crescendo e abrindo novas oportunidades",19 de jan. de 2024,4.0,1,Positive,0.7688338160514832
83429978,Amaggi,Supervisor/Coordenador,Funcionário(a) atual,"Vale alimentação
Plano de saúde
Plano odontológico
PPR- Participação nos Lucros",16 de jan. de 2024,5.0,1,Neutral,0.9908079504966736
82983501,Amaggi,Estagiário Jurídico,"Ex-funcionário(a), mais de um ano","Recebe VA no valor de 675 assim como todos os funcionários, mais seguro e plano de saúde ou VT com coparticipação. Empresa de muitas frentes, vale a pena pois se aprende muito.",2 de jan. de 2024,3.0,1,Neutral,0.8118098378181458
83443159,Amaggi,Operador De Produção,Funcionário(a) atual,"Empresa muito boa, eu gosto de trabalhar na mesma",17 de jan. de 2024,5.0,1,Positive,0.9919661283493042
84718079,Abaco Tecnologia de Informação Ltda,Analista De Negócios Sênior,"Funcionário(a) atual, mais de 5 anos",Gosto do ambiente de trabalho e plataforma utilizada pela empresa,25 de fev. de 2024,5.0,1,Positive,0.8945131301879883
79759611,Abaco Tecnologia de Informação Ltda,Analista De Negócios Sênior,Funcionário(a) atual,Salário; Trabalho híbrido; Para quem está começando na vida profissional é um bom aprendizado para criar 'casca'.,4 de set. de 2023,3.0,1,Neutral,0.9195763468742371
79589896,Abaco Tecnologia de Informação Ltda,Analista De Negócios Pleno,"Funcionário(a) atual, mais de 5 anos",Salário em dia. Mas isso é obrigação da empresa...,29 de ago. de 2023,2.0,1,Neutral,0.9765874743461609
79998242,Abaco Tecnologia de Informação Ltda,Analista De Sistemas Pleno,"Ex-funcionário(a), mais de um ano","Vale Alimentação, Vale Transporte, Salario.",12 de set. de 2023,5.0,1,Neutral,0.9902305006980896
78823721,Abaco Tecnologia de Informação Ltda,CONTADOR,Funcionário(a) atual,O ambiente de trabalho e muito bom o salario também e bom,3 de ago. de 2023,4.0,1,Positive,0.9849531650543213
77046744,Abaco Tecnologia de Informação Ltda,Analista,"Funcionário(a) atual, menos de um ano","Empresa muito boa, muito parceira",3 de jun. de 2023,5.0,1,Positive,0.9919289350509644
75224660,Abaco Tecnologia de Informação Ltda,Técnico De Suporte Júnior,"Ex-funcionário(a), mais de 3 anos",Vale alimentação - VR Vale transporte,5 de abr. de 2023,4.0,1,Neutral,0.9906554818153381
73800353,Abaco Tecnologia de Informação Ltda,Analista De Sistemas Pleno,"Funcionário(a) atual, mais de 5 anos","Empresa consolidada no mercado, mantém seus seus compromissos com seus funcionários, muita experiencia na área em que atua e com excelentes profissionais.",20 de fev. de 2023,4.0,1,Positive,0.9724841117858887
73441712,Abaco Tecnologia de Informação Ltda,Analista De Negócios Júnior,"Funcionário(a) atual, mais de 5 anos","Permite trabalhar de forma home office e os colaboradores normalmente ficam muitos anos na empresa, pois ela dificilmente demite funcionários.",8 de fev. de 2023,4.0,1,Neutral,0.9876214861869812
72522531,Abaco Tecnologia de Informação Ltda,Analista De Requisitos,"Ex-funcionário(a), mais de um ano","Aprendizado, adquirir resiliência. Paciência também foi bem trabalhado.",11 de jan. de 2023,2.0,1,Neutral,0.9791858792304993
71391162,Abaco Tecnologia de Informação Ltda,Funcionário confidencial,"Ex-funcionário(a), mais de um ano",Nao sei dizer nada sobre isso.,25 de nov. de 2022,1.0,1,Neutral,0.9912949800491333
70859119,Abaco Tecnologia de Informação Ltda,Funcionário confidencial,Funcionário(a) atual,"Paga o salário em dia, e por não haver muita organização é possível aprender de tudo um pouco.",7 de nov. de 2022,2.0,1,Neutral,0.9874990582466125
68861222,Abaco Tecnologia de Informação Ltda,Analista De Sistemas,"Ex-funcionário(a), mais de um ano",Apenas a possibilidade de trabalho home office,8 de set. de 2022,1.0,1,Neutral,0.9915068745613098
68139607,Abaco Tecnologia de Informação Ltda,Funcionário confidencial,"Funcionário(a) atual, mais de 3 anos","- Paga Salário em dia

- Trabalho Home Office

- Boa para inicio de carreira",20 de ago. de 2022,4.0,1,Neutral,0.962556004524231
70015753,Abaco Tecnologia de Informação Ltda,Analista,"Ex-funcionário(a), mais de 5 anos","Salário em dia, localização boa, clima boa.",11 de out. de 2022,1.0,1,Positive,0.9118220806121826
69510295,Abaco Tecnologia de Informação Ltda,Analista De Suporte I,"Ex-funcionário(a), mais de 5 anos","Empresa paga em dia.

Tem umas média salarial boa.",27 de set. de 2022,3.0,1,Positive,0.6086803078651428
68952889,Abaco Tecnologia de Informação Ltda,Analista De Sistemas,Funcionário(a) atual,Pensando alguma coisa boa sobre prós.,12 de set. de 2022,4.0,1,Neutral,0.9833791851997375
